date,county,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered
4/24/2020,Mono ,48,0,0,0,0
4/24/2020,Monterey,142,1,108,15,8
4/24/2020,Napa,104,52,18,0,0
4/24/2020,Nevada,50,16,0,0,0
4/24/2020,Orange,275,86,78,78,0
4/24/2020,Placer,32,32,12,0,0
4/24/2020,Plumas,0,0,0,0,0
4/24/2020,Riverside,422,303,15,15,0
4/24/2020,Sacramento,276,105,63,63,0
4/24/2020,San Benito,67,43,3,3,0
4/24/2020,San Bernardino,50,37,20,0,20
4/24/2020,San Diego,2029,409,44,44,0
4/24/2020,San Francisco,1434,864,91,91,0
4/24/2020,San Joaquin,0,0,8,8,0
4/24/2020,San Luis Obispo,155,0,14,14,0
4/24/2020,San Mateo,139,100,0,0,0
4/24/2020,Santa Barbara,98,37,0,0,0
4/24/2020,Santa Clara,660,243,105,105,0
4/24/2020,Santa Cruz,27,20,35,0,0
4/24/2020,Shasta ,20,0,0,0,0
4/24/2020,Sierra,0,0,0,0,0
4/24/2020,Siskiyou,0,0,6,6,0
4/24/2020,Solano ,0,0,0,0,0
4/24/2020,Sonoma,45,45,0,0,0
4/24/2020,Stanislaus,123,52,0,0,0
4/24/2020,Sutter,16,16,5,2,0
4/24/2020,Tehama,0,0,5,5,0
4/24/2020,Trinity,10,0,0,0,0
4/24/2020,Tulare,56,0,0,0,0
4/24/2020,Tuolumne,0,0,0,0,0
4/24/2020,Ventura,388,266,0,0,0
4/24/2020,Yolo,246,212,0,0,0
4/24/2020,Yuba,30,17,5,4,0
4/25/2020,Alameda County,385,344,91,91,0
4/25/2020,Alpine County,0,0,0,0,0
4/25/2020,Amador County,0,0,0,0,0
4/25/2020,Butte County,89,89,0,0,0
4/25/2020,Calaveras County,73,25,0,0,0
4/25/2020,Colusa County,0,0,0,0,0
4/25/2020,Contra Costa County,340,129,0,0,0
4/25/2020,Del Norte County,10,0,0,0,0
4/25/2020,El Dorado County,26,0,0,0,0
4/25/2020,Fresno County,305,250,28,28,0
4/25/2020,Glenn County,7,7,0,0,0
4/25/2020,Humboldt County,44,11,15,0,0
4/25/2020,Imperial County,36,0,37,10,0
4/25/2020,Inyo County,10,1,0,0,0
4/25/2020,Kern County,2,2,15,15,0
4/25/2020,Kings County,0,0,0,0,0
4/25/2020,Lake County,15,10,0,0,0
4/25/2020,Lassen County,1,1,0,0,0
4/25/2020,Los Angeles County,3292,1054,658,649,0
4/25/2020,Madera County ,20,20,0,0,0
4/25/2020,Marin County ,132,96,44,0,0
4/25/2020,Mariposa County,44,13,0,0,0
4/25/2020,Mendocino County,149,110,0,0,0
4/25/2020,Merced County,85,34,0,0,0
4/25/2020,Modoc County,10,1,0,0,0
4/25/2020,Mono County,48,0,0,0,0
4/25/2020,Monterey County,142,1,108,15,8
4/25/2020,Napa County ,104,52,18,0,0
